Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
261,Nim Tamang,in IND,DF,Hyderabad FC,26,1995,9.1,1,3,1,33.3,0.33,0.11,0.33,1,,0,0,Matches
262,Deepak Tangri,in IND,"MF,DF",Mohun Bagan,23,1999,8.3,0,5,1,20,0.6,0.12,0,0,,0,0,Matches
263,Sahil Tavora,in IND,MF,Hyderabad FC,26,1995,6.8,0,9,1,11.1,1.31,0.15,0,0,,0,0,Matches
264,Anirudh Thapa,in IND,MF,Chennaiyin,24,1998,13.2,2,23,7,30.4,1.74,0.53,0.09,0.29,,0,0,Matches
265,Redeem Tlang,in IND,MF,Goa,27,1995,10.2,3,18,7,38.9,1.77,0.69,0.17,0.43,,0,0,Matches
266,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,0,0,0,,0,0,0,0,,0,0,Matches
267,Akshunna Tyagi,in IND,FW,Odisha,20,2001,0,0,0,0,,0,0,0,0,,0,0,Matches
268,Athul Unnikrishnan,in IND,DF,East Bengal,22,2000,0.1,0,0,0,,0,0,0,0,,0,0,Matches
269,Muhammed Uvais,in IND,"DF,MF",Jamshedpur,24,1998,3.2,0,4,0,0,1.25,0,0,0,,0,0,Matches
270,Suhair V. P.,in IND,"MF,FW",East Bengal,30,1992,14.9,2,28,8,28.6,1.88,0.54,0.07,0.25,,0,0,Matches
271,Marc Valiente,es ESP,DF,Goa,35,1987,5.4,0,1,0,0,0.19,0,0,0,,0,0,Matches
272,Isak Vanlalruatfela,in IND,"MF,FW",Odisha,21,2001,4.1,2,10,4,40,2.47,0.99,0.2,0.5,,0,0,Matches
273,Isaac Vanmalsawma,in IND,"MF,FW",Odisha,25,1996,9.5,1,11,2,18.2,1.16,0.21,0.09,0.5,,0,0,Matches
274,Bijoy Varghese,in IND,DF,Kerala Blasters,22,2000,0.1,0,0,0,,0,0,,0,,0,0,Matches
275,Álvaro Vázquez,es ESP,FW,Goa,31,1991,8.8,1,22,8,36.4,2.49,0.91,0.05,0.13,,0,1,Matches
276,João Victor,br BRA,MF,Hyderabad FC,33,1988,10.5,2,9,3,33.3,0.86,0.29,0.11,0.33,,1,2,Matches
277,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,0,0,0,,0,0,0,0,,0,0,Matches
278,Joe Zoherliana,in IND,DF,NorthEast Utd,23,1999,9.5,0,2,0,0,0.21,0,0,0,,0,0,Matches
279,Mark Zothanpuia,in IND,MF,Hyderabad FC,20,2002,0.2,0,0,0,,0,0,0,0,,0,0,Matches
