Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
138,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,8.9,0,0,0,,0,0,,,,0,0,Matches
139,Osama Malik,au AUS,DF,Odisha,31,1990,12.2,0,9,2,22.2,0.74,0.16,0,0,,0,0,Matches
140,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,2.8,0,3,0,0,1.07,0,0,,,0,0,Matches
141,Pedro Martín,es ESP,"FW,MF",Odisha,30,1992,9.1,3,17,7,41.2,1.86,0.77,0.18,0.43,,0,0,Matches
142,Glan Martins,in IND,MF,Goa,28,1994,5.2,0,8,1,12.5,1.53,0.19,0,0,,0,0,Matches
143,Glan Martins,in IND,MF,Mohun Bagan,28,1994,5.2,0,5,2,40,0.95,0.38,0,0,,0,0,Matches
144,Diego Maurício,br BRA,FW,Odisha,31,1991,16,12,51,23,45.1,3.18,1.44,0.18,0.39,,3,3,Matches
145,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,14.5,3,24,9,37.5,1.66,0.62,0.13,0.33,,0,0,Matches
146,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,4.9,0,7,0,0,1.42,0,0,,,0,0,Matches
147,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,12.2,3,12,5,41.7,0.98,0.41,0.25,0.6,,0,0,Matches
148,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,5.7,0,9,1,11.1,1.57,0.17,0,0,,0,0,Matches
149,Denechandra Meitei,in IND,DF,Odisha,28,1994,5.6,0,0,0,,0,0,,,,0,0,Matches
150,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,0,0,0,,0,0,,,,0,0,Matches
151,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,3.9,0,2,0,0,0.51,0,0,,,0,0,Matches
152,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,0,10,2,20,0.59,0.12,0,0,,0,0,Matches
153,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,0,0,0,,0,0,,,,0,0,Matches
